"","text"
"1"," tahapertama pacitan dat jatah  vaksin covid   sasaran "
"2"," wasda hoax  chi  produk vaksin covid utas hoaxvaksin  "
"3"," bahaya sih  vaksin covid dikomodifikasi   cari rente  yg nggak nya uang  tergeser antreannya"
"4"," presiden   dijadwalkan menerima suntikan vaksin covid taha buatan sinovac da rabu  pemberian vaksin"
"5"," juta dosis vaksin  disan jokowi perintahkan vaksinasi covid selesai   shoesms "
"6"," antibodi  vaksin covid tercai nuh da     vaksinasi      mentangmentang"
"7","awaniringkas  januari i  pm   kerajaan  roleh vaksin buatan china rusia   covid  kes  klu "
"8","cirebon  vaksin sinovak  didistribusikan  daerahdaerah  jawa barat  terkecuali kota cirebon rencana "
"9"," besok presiden jokowi  menerima vaksin covid dosis     biro humas kementerian sekret"
"10","polsek pahandut amankan pendristribusian  penyimnan vaksincovid "
"11","dansatbrimob jatim pimpin langsung pengawalan vaksin covid "
"12"," insyaallah besok presiden  menerima vaksin tahakedua rabu    vaksin coronavac  dioduksi"
"13"," vaksin covid  barang blik  komoditas niaga akses terhadakesehatan  tetamengedenkan insikes"
"14","besok presiden jokowi  menerima vaksin covid dosis     biro humas kementerian sekretariat negara"
"15"," pagi   awali berita  dokter erlina burhan ssialis paru   kena alasan orang  terjangkit c"
"16","to tekno berita   tenaga kesehatan yogya gagal terima vaksin covid "
"17","kodim karanganyar  senin tgl  januari   serda mukti  serda rahmawan babinsa koramil kebakkramat polsek "
"18","kodim karanganyar  senin tgl  januari   serda mukti  serda rahmawan babinsa koramil kebakkramat polsek "
"19","kodim karanganyar  senin tgl  januari   serda mukti  serda rahmawan babinsa koramil kebakkramat polsek "
"20","  vaksin covid  ubah lelaki suka kaum sejenis "
"21","dansatbrimob jatim pimpin langsung pengawalan vaksin covid "
"22","pemerintah aceh sosialisasi keamanan vaksin covid disimeulue "
"23","pemerintah aceh sosialisasi keamanan vaksin covid disimeulue "
"24"," peneran protokol kesehatan meskin   vaksin aksin covid  menciakan sistem kekebala "
"25","tahapertama pacitan dat jatah  vaksin covid   sasaran "
"26","  orang   menerima dosis rtama vaksin covid  indonesia r  jan     ratarat"
"27","  orang   menerima dosis rtama vaksin covid  indonesia r  jan    "
"28","sahabatrtv presiden joko widodo dijadwalkan menerima vaksin covid dosis  besok  sahabat  nasar "
"29","dansatbrimob jatim pimpin langsung pengawalan vaksin covid "
"30"," gereja babinsa koramil kalabahi sosialisasi m  t  vaksin covid "
"31","babinsa  arat desa kaleb sosialisasikan m  t  vaksin covid "
"32","   vial vaksin covid  terdistribusi  dinkes ponorogo rencananya ponorogo  menerima  vial vak"
"33","dansatbrimob jatim pimpin langsung pengawalan vaksin covid "
"34","dansatbrimob jatim pimpin langsung pengawalan vaksin covid     kawalvaksin "
"35"," vaksin covid  barang blik  komoditas niaga akses terhadakesehatan  tetamengedenkan insikes"
"36","bhdunia iran   melarang nggunaan vaksin dihasilkan as  britain "
